Win#;Color;MonsterType
0;0;0 NONE
1;0;0 NONE
2;0;0 NONE
3;0;0 NONE
4;0;0 NONE
5;0;0 NONE
6;0;0 NONE
7;0;0 NONE
8;0;0 NONE
9;0;0 NONE
10;0;0 NONE
11;0;0 NONE
12;0;0 NONE
13;0;0 NONE
14;0;0 NONE
15;0;0 NONE
16;0;0 NONE
17;0;0 NONE
18;0;0 NONE
19;0;0 NONE
20;0;0 NONE
21;0;0 NONE
22;0;0 NONE
23;0;0 NONE
24;0;0 NONE
25;0;0 NONE
26;0;0 NONE
27;0;0 NONE
28;0;0 NONE
29;0;0 NONE
30;0;0 NONE
31;0;0 NONE
32;0;0 NONE
33;0;0 NONE
34;0;0 NONE
35;0;0 NONE
36;0;0 NONE
37;0;0 NONE
38;0;0 NONE
39;0;0 NONE
40;0;0 NONE
41;0;0 NONE
42;0;0 NONE
43;0;0 NONE
44;0;0 NONE
45;0;0 NONE
46;0;0 NONE
47;0;0 NONE
48;0;0 NONE
49;0;0 NONE
50;0;0 NONE
51;0;0 NONE
52;0;0 NONE
53;0;0 NONE
54;0;0 NONE
55;0;0 NONE
56;0;0 NONE
57;0;0 NONE
58;0;0 NONE
59;0;0 NONE
60;0;0 NONE
61;0;0 NONE
62;0;0 NONE
63;0;0 NONE
64;0;0 NONE
65;0;0 NONE
66;0;0 NONE
67;0;0 NONE
68;0;0 NONE
69;0;0 NONE
70;0;0 NONE
71;0;0 NONE
72;0;0 NONE
73;0;0 NONE
74;0;0 NONE
75;0;0 NONE
76;0;0 NONE
77;0;0 NONE
78;0;0 NONE
79;0;0 NONE
80;0;0 NONE
81;0;0 NONE
82;0;0 NONE
83;0;0 NONE
84;0;0 NONE
85;0;0 NONE
86;0;0 NONE
87;0;0 NONE
88;0;0 NONE
89;0;0 NONE
90;0;0 NONE
91;0;0 NONE
92;0;0 NONE
93;0;0 NONE
94;0;0 NONE
95;0;0 NONE
96;0;0 NONE
97;0;0 NONE
98;0;0 NONE
99;0;0 NONE
100;0;0 NONE
101;0;0 NONE
102;0;0 NONE
103;0;0 NONE
104;0;0 NONE
105;0;0 NONE
106;0;0 NONE
107;0;0 NONE
108;0;0 NONE
109;0;0 NONE
110;0;0 NONE
111;0;0 NONE
112;0;0 NONE
113;0;0 NONE
114;0;0 NONE
115;0;0 NONE
116;0;0 NONE
117;0;0 NONE
118;0;0 NONE
119;0;0 NONE
120;0;0 NONE
121;0;0 NONE
122;0;0 NONE
123;0;0 NONE
124;0;0 NONE
125;0;0 NONE
126;0;0 NONE
127;0;0 NONE
128;0;0 NONE
129;0;0 NONE
130;0;0 NONE
131;0;0 NONE
132;0;0 NONE
133;0;0 NONE
134;0;0 NONE
135;0;0 NONE
136;0;0 NONE
137;0;0 NONE
138;0;0 NONE
139;0;0 NONE
140;0;0 NONE
141;0;0 NONE
142;0;0 NONE
143;0;0 NONE
144;0;0 NONE
145;0;0 NONE
146;0;0 NONE
147;0;0 NONE
148;0;0 NONE
149;0;0 NONE
150;0;0 NONE
151;0;0 NONE
152;0;0 NONE
153;0;0 NONE
154;0;0 NONE
155;0;0 NONE
156;0;0 NONE
157;0;0 NONE
158;0;0 NONE
159;0;0 NONE
160;0;0 NONE
161;0;0 NONE
162;0;0 NONE
163;0;0 NONE
164;0;0 NONE
165;0;0 NONE
166;0;0 NONE
167;0;0 NONE
168;0;0 NONE
169;0;0 NONE
170;0;0 NONE
171;0;0 NONE
172;0;0 NONE
173;0;0 NONE
174;0;0 NONE
175;0;0 NONE
176;0;0 NONE
177;0;0 NONE
178;0;0 NONE
179;0;0 NONE
180;0;0 NONE
181;0;0 NONE
182;0;0 NONE
183;0;0 NONE
184;0;0 NONE
185;0;0 NONE
186;0;0 NONE
187;0;0 NONE
188;0;0 NONE
189;0;0 NONE
190;0;0 NONE
191;0;0 NONE
192;0;0 NONE
193;0;0 NONE
194;0;0 NONE
195;0;0 NONE
196;0;0 NONE
197;0;0 NONE
198;0;0 NONE
199;0;0 NONE
200;0;0 NONE
201;0;0 NONE
202;0;0 NONE
203;0;0 NONE
204;0;0 NONE
205;0;0 NONE
206;0;0 NONE
207;0;0 NONE
208;0;0 NONE
209;0;0 NONE
210;0;0 NONE
211;0;0 NONE
212;0;0 NONE
213;0;0 NONE
214;0;0 NONE
215;0;0 NONE
216;0;0 NONE
217;0;0 NONE
218;0;0 NONE
219;0;0 NONE
220;0;0 NONE
221;0;0 NONE
222;0;0 NONE
223;0;0 NONE
224;0;0 NONE
225;0;0 NONE
226;0;0 NONE
227;0;0 NONE
228;0;0 NONE
229;0;0 NONE
230;0;0 NONE
231;0;0 NONE
232;0;0 NONE
233;0;0 NONE
234;0;0 NONE
235;0;0 NONE
236;0;0 NONE
237;0;0 NONE
238;0;0 NONE
239;0;0 NONE
240;0;0 NONE
241;0;0 NONE
242;0;0 NONE
243;0;0 NONE
244;0;0 NONE
245;0;0 NONE
246;0;0 NONE
247;0;0 NONE
248;0;0 NONE
249;0;0 NONE
250;0;0 NONE
251;0;0 NONE
252;0;0 NONE
253;0;0 NONE
254;0;0 NONE
255;0;0 NONE
256;0;0 NONE
257;0;0 NONE
258;0;0 NONE
259;0;0 NONE
260;0;0 NONE
261;0;0 NONE
262;0;0 NONE
263;0;0 NONE
264;0;0 NONE
265;0;0 NONE
266;0;0 NONE
267;0;0 NONE
268;0;0 NONE
269;0;0 NONE
270;0;0 NONE
271;0;0 NONE
272;0;0 NONE
273;0;0 NONE
274;0;0 NONE
275;0;0 NONE
276;0;0 NONE
277;0;0 NONE
278;0;0 NONE
279;0;0 NONE
280;0;0 NONE
281;0;0 NONE
282;0;0 NONE
283;0;0 NONE
284;0;0 NONE
285;0;0 NONE
286;0;0 NONE
287;0;0 NONE
288;0;0 NONE
289;0;0 NONE
290;0;0 NONE
291;0;0 NONE
292;0;0 NONE
293;0;0 NONE
294;0;0 NONE
295;0;0 NONE
296;0;0 NONE
297;0;0 NONE
298;0;0 NONE
299;0;0 NONE
300;0;0 NONE
301;0;0 NONE
302;0;0 NONE
303;0;0 NONE
304;0;0 NONE
305;0;0 NONE
306;0;0 NONE
307;0;0 NONE
308;0;0 NONE
309;0;0 NONE
310;0;0 NONE
311;0;0 NONE
312;0;0 NONE
313;0;0 NONE
314;0;0 NONE
315;0;0 NONE
316;0;0 NONE
317;0;0 NONE
318;0;0 NONE
319;0;0 NONE
320;0;0 NONE
321;0;0 NONE
322;0;0 NONE
323;0;0 NONE
324;0;0 NONE
325;0;0 NONE
326;0;0 NONE
327;0;0 NONE
328;0;0 NONE
329;0;0 NONE
330;0;0 NONE
331;0;0 NONE
332;0;0 NONE
333;0;0 NONE
334;0;0 NONE
335;0;0 NONE
336;0;0 NONE
337;0;0 NONE
338;0;0 NONE
339;0;0 NONE
340;0;0 NONE
341;0;0 NONE
342;0;0 NONE
343;0;0 NONE
344;0;0 NONE
345;0;0 NONE
346;0;0 NONE
347;0;0 NONE
348;0;0 NONE
349;0;0 NONE
350;0;0 NONE
351;0;0 NONE
352;0;0 NONE
353;0;0 NONE
354;0;0 NONE
355;0;0 NONE
356;0;0 NONE
357;0;0 NONE
358;0;0 NONE
359;0;0 NONE
360;0;0 NONE
361;0;0 NONE
362;0;0 NONE
363;0;0 NONE
364;0;0 NONE
365;0;0 NONE
366;0;0 NONE
367;0;0 NONE
368;0;0 NONE
369;0;0 NONE
370;0;0 NONE
371;0;0 NONE
372;0;0 NONE
373;0;0 NONE
374;0;0 NONE
375;0;0 NONE
376;0;0 NONE
377;0;0 NONE
378;0;0 NONE
379;0;0 NONE
380;0;0 NONE
381;0;0 NONE
382;0;0 NONE
383;0;0 NONE
384;0;0 NONE
385;0;0 NONE
386;0;0 NONE
387;0;0 NONE
388;0;0 NONE
389;0;0 NONE
390;0;0 NONE
391;0;0 NONE
392;0;0 NONE
393;0;0 NONE
394;0;0 NONE
395;0;0 NONE
396;0;0 NONE
397;0;0 NONE
398;0;0 NONE
399;0;0 NONE
400;0;0 NONE
401;0;0 NONE
402;0;0 NONE
403;0;0 NONE
404;0;0 NONE
405;0;0 NONE
406;0;0 NONE
407;0;0 NONE
408;0;0 NONE
409;0;0 NONE
410;0;0 NONE
411;0;0 NONE
412;0;0 NONE
413;0;0 NONE
414;0;0 NONE
415;0;0 NONE
416;0;0 NONE
417;0;0 NONE
418;0;0 NONE
419;0;0 NONE
420;0;1 NONE
421;0;0 NONE
422;0;0 NONE
423;0;0 NONE
424;0;0 NONE
425;0;0 NONE
426;0;0 NONE
427;0;0 NONE
428;0;0 NONE
429;0;0 NONE
430;0;0 NONE
431;0;0 NONE
432;0;0 NONE
433;0;0 NONE
434;0;0 NONE
435;0;0 NONE
436;0;0 NONE
437;0;0 NONE
438;0;0 NONE
439;0;0 NONE
440;0;0 NONE
441;0;0 NONE
442;0;0 NONE
443;0;0 NONE
444;0;0 NONE
445;0;0 NONE
446;0;0 NONE
447;0;0 NONE
448;0;0 NONE
449;0;0 NONE
450;0;0 NONE
451;0;0 NONE
452;0;0 NONE
453;0;0 NONE
454;0;0 NONE
455;0;0 NONE
456;0;0 NONE
457;0;0 NONE
458;0;0 NONE
459;0;0 NONE
460;0;0 NONE
461;0;0 NONE
462;0;0 NONE
463;0;0 NONE
464;0;0 NONE
465;0;0 NONE
466;0;0 NONE
467;0;0 NONE
468;0;0 NONE
469;0;0 NONE
470;0;0 NONE
471;0;0 NONE
472;0;0 NONE
473;0;0 NONE
474;0;0 NONE
475;0;0 NONE
476;0;0 NONE
477;0;0 NONE
478;0;0 NONE
479;0;0 NONE
480;0;0 NONE
481;0;0 NONE
482;0;0 NONE
483;0;0 NONE
484;0;0 NONE
485;0;0 NONE
486;0;0 NONE
487;0;0 NONE
488;0;0 NONE
489;0;0 NONE
490;0;0 NONE
491;0;0 NONE
492;0;0 NONE
493;0;0 NONE
494;0;0 NONE
495;0;0 NONE
496;0;0 NONE
497;0;0 NONE
498;0;0 NONE
499;0;0 NONE
500;0;0 NONE
501;0;0 NONE
502;0;0 NONE
503;0;0 NONE
504;0;0 NONE
505;0;0 NONE
506;0;0 NONE
507;0;0 NONE
508;0;0 NONE
509;0;0 NONE
510;0;0 NONE
511;0;0 NONE
512;0;0 NONE
513;0;0 NONE
514;0;0 NONE
515;0;0 NONE
516;0;0 NONE
517;0;0 NONE
518;0;0 NONE
519;0;0 NONE
520;0;0 NONE
521;0;0 NONE
522;0;0 NONE
523;0;0 NONE
524;0;0 NONE
525;0;0 NONE
526;0;0 NONE
527;0;0 NONE
528;0;0 NONE
529;0;0 NONE
530;0;0 NONE
531;0;0 NONE
532;0;0 NONE
533;0;0 NONE
534;0;0 NONE
535;0;0 NONE
536;0;0 NONE
537;0;0 NONE
538;0;0 NONE
539;0;0 NONE
540;0;0 NONE
541;0;0 NONE
542;0;0 NONE
543;0;0 NONE
544;0;0 NONE
545;0;0 NONE
546;0;0 NONE
547;0;0 NONE
548;0;0 NONE
549;0;0 NONE
550;0;0 NONE
551;0;0 NONE
552;0;0 NONE
553;0;0 NONE
554;0;0 NONE
555;0;0 NONE
556;0;0 NONE
557;0;0 NONE
558;0;0 NONE
559;0;0 NONE
560;0;0 NONE
561;0;0 NONE
562;0;0 NONE
563;0;0 NONE
564;0;0 NONE
565;0;0 NONE
566;0;0 NONE
567;0;0 NONE
568;0;0 NONE
569;0;0 NONE
570;0;0 NONE
571;0;0 NONE
572;0;0 NONE
573;0;0 NONE
574;0;0 NONE
575;0;0 NONE
576;0;0 NONE
577;0;0 NONE
578;0;0 NONE
579;0;0 NONE
580;0;0 NONE
581;0;0 NONE
582;0;0 NONE
583;0;0 NONE
584;0;0 NONE
585;0;0 NONE
586;0;0 NONE
587;0;0 NONE
588;0;0 NONE
589;0;0 NONE
590;0;0 NONE
591;0;0 NONE
592;0;0 NONE
593;0;0 NONE
594;0;0 NONE
595;0;0 NONE
596;0;0 NONE
597;0;0 NONE
598;0;0 NONE
599;0;0 NONE
600;0;0 NONE
601;0;0 NONE
602;0;0 NONE
603;0;0 NONE
604;0;0 NONE
605;0;0 NONE
