OC#;CardName;NotInDeck;InDeck#
0;6538 Needlebug;0;1
1;9338 Steel Wall;0;1
2;4035 Goblin Replica;0;1
3;1969 Corpse Cur;0;1
4;11288 Goblin Boom Keg;0;1
5;4135 Grafted Wargear;0;1
6;6098 Might of Oaks;1;0
7;8780 Sinkhole;0;1
8;3323 Feast of Flesh;1;0
9;1937 Contract from Below;0;1
10;3393 Fiery Mantle;1;0
11;11218 Zombie Infestation;1;0
12;6925 Oubliette;0;1
13;4409 Haunting Wind;1;0
14;10655 Voice of Law;0;1
15;10054 Tivadar of Thorn;0;1
16;9542 Sunspire Griffin;0;1
17;9107 Spectral Rider;0;1
18;4748 Icatian Crier;0;1
19;762 Aven Squire;0;1
20;342 Alaborn Musketeer;1;0
21;734 Avacyn, Angel of Hope;0;1
22;8049 Ronin Houndmaster;0;1
23;4312 Guma;0;1
24;9186 Spire Tracer;1;0
25;7378 Primeval Titan;1;0
26;10343 Undertaker;1;0
27;10343 Undertaker;0;1
28;7231 Plague Beetle;1;0
29;4364 Hand of Cruelty;0;1
30;3847 Ghosts of the Damned;1;0
31;4214 Grief Tyrant;0;1
32;4214 Grief Tyrant;0;1
33;2433 Demonic Taskmaster;0;1
34;4 Plains;0;1
35;4 Plains;0;1
36;4 Plains;0;1
37;4 Plains;0;1
38;4 Plains;0;1
39;4 Plains;0;1
40;4 Plains;0;1
41;4 Plains;0;1
42;4 Plains;0;1
43;4 Plains;1;0
44;4 Plains;1;0
45;3 Mountain;1;0
46;3 Mountain;0;1
47;3 Mountain;0;1
48;3 Mountain;0;1
49;11394 None;1;0
50;0 Swamp;0;1
51;0 Swamp;0;1
52;0 Swamp;0;1
53;0 Swamp;0;1
54;0 Swamp;0;1
55;1107 Blood Crypt;0;1
56;-1 NONE;0;-1
57;-1 NONE;0;-1
58;-1 NONE;0;-1
59;-1 NONE;0;-1
60;-1 NONE;0;-1
61;-1 NONE;0;-1
62;-1 NONE;0;-1
63;-1 NONE;0;-1
64;-1 NONE;0;-1
65;-1 NONE;0;-1
66;-1 NONE;0;-1
67;-1 NONE;0;-1
68;-1 NONE;0;-1
69;-1 NONE;0;-1
70;-1 NONE;0;-1
71;-1 NONE;0;-1
72;-1 NONE;0;-1
73;-1 NONE;0;-1
74;-1 NONE;0;-1
75;-1 NONE;0;-1
76;-1 NONE;0;-1
77;-1 NONE;0;-1
78;-1 NONE;0;-1
79;-1 NONE;0;-1
80;-1 NONE;0;-1
81;-1 NONE;0;-1
82;-1 NONE;0;-1
83;-1 NONE;0;-1
84;-1 NONE;0;-1
85;-1 NONE;0;-1
86;-1 NONE;0;-1
87;-1 NONE;0;-1
88;-1 NONE;0;-1
89;-1 NONE;0;-1
90;-1 NONE;0;-1
91;-1 NONE;0;-1
92;-1 NONE;0;-1
93;-1 NONE;0;-1
94;-1 NONE;0;-1
95;-1 NONE;0;-1
96;-1 NONE;0;-1
97;-1 NONE;0;-1
98;-1 NONE;0;-1
99;-1 NONE;0;-1
100;-1 NONE;0;-1
101;-1 NONE;0;-1
102;-1 NONE;0;-1
103;-1 NONE;0;-1
104;-1 NONE;0;-1
105;-1 NONE;0;-1
106;-1 NONE;0;-1
107;-1 NONE;0;-1
108;-1 NONE;0;-1
109;-1 NONE;0;-1
110;-1 NONE;0;-1
111;-1 NONE;0;-1
112;-1 NONE;0;-1
113;-1 NONE;0;-1
114;-1 NONE;0;-1
115;-1 NONE;0;-1
116;-1 NONE;0;-1
117;-1 NONE;0;-1
118;-1 NONE;0;-1
119;-1 NONE;0;-1
120;-1 NONE;0;-1
121;-1 NONE;0;-1
122;-1 NONE;0;-1
123;-1 NONE;0;-1
124;-1 NONE;0;-1
125;-1 NONE;0;-1
126;-1 NONE;0;-1
127;-1 NONE;0;-1
128;-1 NONE;0;-1
129;-1 NONE;0;-1
130;-1 NONE;0;-1
131;-1 NONE;0;-1
132;-1 NONE;0;-1
133;-1 NONE;0;-1
134;-1 NONE;0;-1
135;-1 NONE;0;-1
136;-1 NONE;0;-1
137;-1 NONE;0;-1
138;-1 NONE;0;-1
139;-1 NONE;0;-1
