Card#;Unknown;Card Name;Card ID;Card Type;Special Type;Color;Colored Cost;Colorless Cost;Unused;Power;Toughness;Unused;Code Reference;Abilities 1;Abilities 2;Abilities 3;Abilites 4;Type 1;Type 2;Type 3;Type 4;Unknown;When to Play;Edition;Unused;Rating
0;0x00;Swamp;239;0b00000001;0x0D;0b00000010;0;0;0x00;0;0;0x00;0x479E90;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
1;0x00;Island;126;0b00000001;0x0D;0b00000100;0;0;0x00;0;0;0x00;0x479EB0;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
2;0x00;Forest;91;0b00000001;0x0D;0b00001000;0;0;0x00;0;0;0x00;0x479ED0;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
3;0x00;Mountain;164;0b00000001;0x0D;0b00010000;0;0;0x00;0;0;0x00;0x479EF0;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
4;0x00;Plains;188;0b00000001;0x0D;0b00100000;0;0;0x00;0;0;0x00;0x479F10;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
5;0x00;Badlands;9;0b00000001;0x0C;0b00010010;0;0;0x00;0;0;0x00;0x0200352C;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;2
6;0x00;Bayou;12;0b00000001;0x0C;0b00001010;0;0;0x00;0;0;0x00;0x0200352C;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;2
7;0x00;Plateau;189;0b00000001;0x0C;0b00110000;0;0;0x00;0;0;0x00;0x0200352C;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;2
8;0x00;Savannah;212;0b00000001;0x0C;0b00101000;0;0;0x00;0;0;0x00;0x0200352C;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;2
9;0x00;Scrubland;216;0b00000001;0x0C;0b00100010;0;0;0x00;0;0;0x00;0x0200352C;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;2
10;0x00;Taiga;241;0b00000001;0x0C;0b00011000;0;0;0x00;0;0;0x00;0x0200352C;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;2
11;0x00;Tropical Island;252;0b00000001;0x0C;0b00001100;0;0;0x00;0;0;0x00;0x0200352C;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;2
12;0x00;Tundra;254;0b00000001;0x0C;0b00100100;0;0;0x00;0;0;0x00;0x0200352C;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;2
13;0x00;Undergd.Sea;258;0b00000001;0x0C;0b00000110;0;0;0x00;0;0;0x00;0x0200352C;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;2
14;0x00;Volcanic Island;266;0b00000001;0x0C;0b00010100;0;0;0x00;0;0;0x00;0x0200352C;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;2
15;0x00;* Archenemy;14673;0b10000000;0xFF;0b00000000;0;99;0x03;0;0;0x00;0x02003C52;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b01000000;0b00000000;0b00000001;0b00000000;0x00;0
16;0x00;* Draft;14674;0b10000100;0xFF;0b00000001;0;99;0x03;0;0;0x00;0x020015DD;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b01000000;0b00000000;0b00000001;0b00000000;0x00;0
17;0x00;* Elder Dragon Highlander;14675;0b10000000;0xFF;0b00000000;0;99;0x03;0;0;0x00;0x020024B0;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
