ID;Full Name;CODED CARD;Name;Expansion;Color;Card Type;DB Card Type 2;Rarity;Req Colorless;Req Black;Req Blue;Req Green;Req Red;Req White;Num Pics;Mod Direct Fire;Mod Land Destructor;Mod Draw Cards;Mod Discard;Mod Gain Life;Mod Damage Prevention;Mod Recycler;Mod Counter Spell;Mod Control;Mod Combat Manipulator;Mod Enchantments;Mod Artifacts;Mod Creature;Mod Creature Generator;Mod Damage Opponent;Mod Library Manipulation;Mod Dummy 1;Mod Dummy 2;Mod Dummy 3;Mod Dummy 4;AI Inc Power;AI Inc Toughness;AI Power;AI Toughness;AI Base Value;Dependent Arifact;Dependent Creature;Dependent Wall;Sleighted Color;VS Black;VS Blue;VS Green;VS Red;VS White;For Black;For Blue;For Green;For Red;For White;Count as Black;Count as Blue;Count as Green;Count as Red;Count as White;VS Black Land;VS Blue Land;VS Green Land;VS Red Land;VS White Land;For Black Land;For Blue Land;For Green Land;For Red Land;For White Land;Count as Black Land;Count as Blue Land;Count as Green Land;Count as Red Land;Count as White Land;AI Flying;AI Banding;AI Trample;AI First Strike;AI Wall;AI Landhome;Exp Rarity;Power;Toughness;Num of DB Abilities;DBA1;DBA2;DBA3;DBA4;DBA5;DBA6;DBA7;DBA8;Mana Source Colors;Inflatable;Hack Color;Hack Mode;Enchant Type OWN;Enchant Type OPP;Subtype;Subtype 2;Type Text;Rules Text;Flavor Text;Damage Text;Effect Title Text;Effect Text;Legacy Title Text;Legacy Text
0;Air Elemental;1;Air Elemental;0800h;2;7;0;4;3;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10111h;4;4;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;65;211;Creature — Elemental;Flying;Pray that it doesn't seek the safety of your lungs.;;;;;
1;Ancestral Recall;1;Ancestral Recall;0800h;2;3;6;2;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Instant;Target player draws three cards.;;;;;;
2;Animate Artifact;1;Animate Artifact;0800h;2;2;0;4;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;75;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;011h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;11;211;Enchant Artifact;Enchanted non-creature artifact is a creature with power and toughness each equal to its converted mana cost. It's still an artifact.;;;;;;
3;Animate Dead;1;Animate Dead;0800h;1;2;0;4;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0111h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;44;211;Enchantment;When Animate Dead comes into play, if it's in play, it becomes an enchant creature. Put target creature card from a graveyard into play under your control enchanted by Animate Dead.\nEnchanted creature gets -1/-0.\nWhen Animate Dead leaves play, destroy enchanted creature. It can't be regenerated.;;;;;;
4;Animate Wall;1;Animate Wall;0800h;8;2;0;2;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0999h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;197;211;Enchant Wall;Enchanted creature may attack as though it weren't a Wall.;;;;;;
5;Ankh of Mishra;1;Ankh of Mishra;0800h;3;1;0;2;2;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0999h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;Whenever a land comes into play, Ankh of Mishra deals 2 damage to that land's controller.;;;;;;
6;Armageddon;1;Armageddon;0800h;8;6;9;2;3;0;0;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0999h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Sorcery;Destroy all lands.;;;;;;
7;Aspect of Wolf;1;Aspect of Wolf;0800h;5;2;0;2;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0999h;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;1;2;44;211;Enchant Creature;Enchanted creature gets +X/+Y, where X is equal to half the number of |H1Forests you control, rounded down, and Y is equal to half the number of |H1Forests you control, rounded up.;;;;;;
8;Bad Moon;1;Bad Moon;0800h;1;2;0;2;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0999h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Enchantment;|SBlack creatures get +1/+1.;;;;;;
9;Badlands;1;Badlands;0800h;6;5;10;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;09h;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;211;211;Land — Mountain Swamp;Badlands can be tapped to produce |B or |R.;;;;;;
