ID,Card Name,Short Name,Card Set,Color,Type,Subtype,Group,Occuran.,Mana Costs,Pow,Tuff
0000,Air Elemental ,Air Elemental ,Magic,Blue,Summon,Elemental,None,Rare,000023,4,4
0001,Ancestral Recall,Ancestral Recall,Magic,Blue,Instant,na,None,Rare,000010,na,na
0002,Animate Artifact,Animate Artifact,Magic,Blue,Enchant,Artifact,None,Uncommon,000013,na,na
0003,Animate Dead ,Animate Dead ,Magic,Black,Enchant,Dead Creature,None,Uncommon,000101,na,na
0004,Animate Wall,Animate Wall,Magic,White,Enchant,Wall,None,Rare,100000,na,na
0005,Ankh of Mishra,Ankh of Mishra,Magic,Brown,Artifact,Continuous,None,Rare,000002,na,na
0006,Armageddon,Armageddon,Magic,White,Sorcery,na,None,Rare,100003,na,na
0007,Aspect of Wolf,Aspect of Wolf,Magic,Green,Enchant,Creature,None,Rare,010001,na,na
0008,Bad Moon,Bad Moon,Magic ,Black,Enchant,na,None,Rare,000101,na,na
0009,Badlands,Badlands,Magic,Grey,Land,na,None,Rare,000000,na,na
0010,Balance,Balance,Magic,White,Sorcery,na,None,Rare,100001,na,na
0011,Basalt Monolith,Basalt Monolith,Magic,Brown,Artifact,Mono,None,Uncommon,000003,na,na
0012,Bayou,Bayou,Magic,Grey,Land,na,None,Rare,000000,na,na
0013,Benalish Hero,Benalish Hero,Magic,White,Summon,Hero,None,Common,100000,1,1
0014,Berserk,Berserk,Magic,Green,Instant,na,None,Uncommon,010000,na,na
0015,Birds of Paradise,Birds of Paradise,Magic,Green,Summon,Mana Birds,None,Rare,010000,0,1
0016,Black Knight,Black Knight,Magic,Black,Summon,Knight,None,Uncommon,000200,2,2
0017,Black Lotus,Black Lotus,Magic,Brown,Artifact,Mono,None,Rare,000000,na,na
0018,Black Vise,Black Vise,Magic,Brown,Artifact,Continuous,None,Uncommon,000001,na,na
0019,Black Ward,Black Ward,Magic,White,Enchant,Creature,None,Uncommon,100000,na,na
0020,Blaze of Glory,Blaze of Glory,Magic,White,Instant,na,None,Rare,100000,na,na
