ID,Card Name,Type Description,Artist Name,Rule Text,Quote
0000,Air Elemental ,Summon Elemental,Richard Thomas,Flying,"These spirits of the air are winsome and wild and cannot be truly contained. Only marginally intelligent, they often substitute whimsy for strategy, delighting in mischief and mayhem."
0001,Ancestral Recall,Instant,Mark Poole,Target player draws 3 cards.,
0002,Animate Artifact,Enchant Artifact,Douglas Shuler,Target artifact becomes an artifact creature with power and toughness each equal to its casting cost; target retains all its original abilities.  Animate Artifact does not affect artifact creatures.,
0003,Animate Dead ,Enchant Dead Creature,Anson Maddocks,"Take target creature from any graveyard and put it directly into play under your control with -1/-0.  Treat this creature as though it were just summoned.  If Animate Dead is removed, bury the creature in its owner's graveyard.",
0004,Animate Wall,Enchant Wall,Dan Frazier,Target wall can now attack.,
0005,Ankh of Mishra,Artifact,Amy Weber,"Each time a player puts a land into play, Ankh of Mishra deals 2 damage to that player.",
0006,Armageddon,Sorcery,Jesper Myrfors,Destroys all lands.,
0007,Aspect of Wolf,Enchant Creature,Jeff A. Menges,"Increase target creature's power and toughness by half the number of forests you control, rounding down for power and up for toughness.",
0008,Bad Moon,Enchantment,Jesper Myrfors,All black creatures get +1/+1.,
0009,Badlands,Land,Rob Alexander,|T: add |R or |B to your mana pool. Counts as both a swamp and a mountain and is affected by spells which affect either.,
0010,Balance,Sorcery,Mark Poole,Each player sacrifices enough lands to equalize the number of lands all players control.  The player who controls the fewest lands cannot sacrifice any in this way.  All players then equalize cards in hand and then creatures in play in the same way.,
0011,Basalt Monolith,Artifact,Jesper Myrfors,|T: add 3 colorless mana to your mana pool. Does not untap as normal during untap phase. ,
0012,Bayou,Land,Jesper Myrfors,|T: add |G or |B to your mana pool. Counts as both a swamp and a forest and is affected by spells which affect either.,
0013,Benalish Hero,Summon Hero,Douglas Shuler,Banding,"Benalia has a complex caste system that changes with the lunar year. No matter what the season, the only caste that cannot be attained by either heredity or money is that of the Hero."
0014,Berserk,Instant,Dan Frazier,"Target creature's power doubles and it gains trample ability until end of turn, if it attacks if is then destroyed",
0015,Birds of Paradise,Summon Mana Birds,Mark Poole,"Flying, |T: Add one mana of any color to your mana pool.  Play this ability as an interrupt.",
0016,Black Knight,Summon Knight,Jeff A. Menges,"Protection from white, first strike",Battle doesn't need a purpose; the battle is its own purpose. You don't ask why a plague spreads or a field burns. Don't ask why I fight.
