Sort order;Name (will be cut down);Full Card Name in CSV (must be exactly the same);Type: Effect;Type: Artifact;Type: Interrupt;Type: Instant;Type: Sorcery;Type: Enchantment;Type: Creature;Type: Land;Family;Color Unused;Color ArtMana;Color White;Color Red;Color Green;Color Blue;Color Black;Color Colorless;Required Colorless Mana (total);Required COLOR Mana (total);cc[2];Power;Toughness;Extra Flags (Unused);Extra Flags (Unused);Extra Flags (Unused);Extra Flags (Unused);Extra Flags (Unused);Extra Flags (Unused);Modifies Produced Mana;Modifies Casting Cost;Unused;Code Address;Ability: Unknown;Ability: Double Strike;Ability: Infect;Ability: Temp Color Changed (not used in this struct);Ability: Temp Ability Added (not used in this struct);Ability: Temp Power Changed (not used in this struct);Ability: Temp Toughness Changed (not used in this struct);Ability: Temp Transformed (not used in this struct);Ability: Defender;Ability: Prot from Lands;Ability: Banding when Attacking;Ability: Prot from Sorceries;Ability: Changeling;Ability: Prot from Instants;Ability: Shroud;Ability: Prot from Artifacts;Ability: Prot from White;Ability: Prot from Red;Ability: Prot from Green;Ability: Prot from Blue;Ability: Prot from Black;Ability: Reach;Ability: Regeneration;Ability: First Strike;Ability: Trample;Ability: Banding;Ability: Flying;Ability: Plainswalk;Ability: Mountainswalk;Ability: Forestwalk;Ability: Islandwalk;Ability: Swampwalk;Flags: Ability Cost;Flags: Play Cost;Flags: Unknown (unused);Flags: Special Code When Controlled;Flags: Fellwar Stone;Flags: Declare Attack;Flags: Before Combat;Flags: Force Attack;Flags: Paid Block;Flags: Paid Attack;Flags: Lich;Flags: Select Block;Flags: Select Attack;Flags: Martyr;Flags: Act Use X;Flags: Paid Mana Source;Flags: Became Creature;Flags: Activated Counterspell;Flags: Interrupt;Flags: Mana Source;Flags: Unknown (Shandalar);Flags: Unknown (Shandalar);Flags: Unknown (Shandalar);Flags: Unknown (Shandalar);Flags: Unknown (Shandalar);Flags: Unknown (Some AI DrawCard stuff);Flags: Counters;Flags: Inflatable Toughness;Flags: Inflatable Power;Flags: Protect;Flags: Activate Interrupt;Flags: Activate;Rarity (copied);Activate after Combat;Activate after Blockers;Activate before Blockers;Activate before Combat;Play after Combat;Play after Blockers;Play before Blockers;Play before Combat;Expansion (copied);Creature Rating Mod
0;Swamp;Swamp;0;0;0;0;0;0;0;1;13;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0x479E90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1;Island;Island;0;0;0;0;0;0;0;1;13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0x479EB0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2;Forest;Forest;0;0;0;0;0;0;0;1;13;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0x479ED0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
3;Mountain;Mountain;0;0;0;0;0;0;0;1;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0x479EF0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
4;Plains;Plains;0;0;0;0;0;0;0;1;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0x479F10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
10000;Badlands;Badlands;0;0;0;0;0;0;0;1;12;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0x200352c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
10000;Bayou;Bayou;0;0;0;0;0;0;0;1;12;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0x200352c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
10000;Plateau;Plateau;0;0;0;0;0;0;0;1;12;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0x200352c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
10000;Savannah;Savannah;0;0;0;0;0;0;0;1;12;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0x200352c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
10000;Scrubland;Scrubland;0;0;0;0;0;0;0;1;12;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0x200352c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
10000;Taiga;Taiga;0;0;0;0;0;0;0;1;12;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0x200352c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
10000;Tropical Island;Tropical Island;0;0;0;0;0;0;0;1;12;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0x200352c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
