Sentinel,Card Name,Game ID,Card Status,,,,Original Set,,Additional Cardsets,,,,Mana Sources,Types of Mana Generated,,,,,,AI Values,Color and Land Values,,,,,,Dependencies,,,Class Value Modifiers,,,,,,,,,,,,,,,,,,,,,Persistant Attributes,,Variable Attributes,,,Creature Abilities,1 has 2 gives 4 anti,,,,
0,aaaaaaaaa,,Coded?,Difficulty,Similar Card,New Rules,,Rarity,3rd Ed. (Revised),4th Edition,a5th Edition,Chronicles,White,Blue,Black,Red,Green,Colorless,Typed Mana,Indiscriminate,"Gains Value Versus Color (W,U,B,R,G)","Gains Value for Color (W,U,B,R,G)","Counts as Color (W,U,B,R,G)","Gains Value Versus Land (W,U,B,R,G)","Gains Value for Land (W,U,B,R,G)","Counts as Land (W,U,B,R,G)",Artifact,Creature,Wall,Direct Fire (*10),Land Destruction (*10),DrawCards (*10),Discard,GainLife (*10),Damage Prevention (*10),Recycler,Counterspell,Control,Combat Manipulation,Enchantment,Artifacts,Creature,Creature Generator,Damage Opponent,Library Manipulation,Dummy 1,Dummy 2,Dummy 3,Dummy 4,Base Value,Power,Toughness,Increase Power,Increase Toughness,Inflatable,Flying,Banding,Trample,First Strike,Wall,Landhome
AAKnob for bits 2 and 4 to multiply against percentage of deck for column,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,8,10,10,10,10,10,10,10,10,10,10,4,4,2,10,1,10,1,1,1,1,-,15,10,8,5,4,1,1,1,1,1,1
ABAssumed percentage of opponents deck for column,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,10,10,35,0,0,0,0,0,0,0,-,-,-,-,-,-,10,0,0,0,0,0
ACBit 1 multiplier,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,20,15,20,15,15,10,10,10,15,10,0,0,0,20,20,10,10,10,10,10,-,1,1,1,1,1,18,13,15,12,6,3
1,Air Elemental,0000,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, ,-,-,-,-,-,1,-,-,-,-,-,-,-,0,4,4,-,-,-,1,-,-,-,-,-
2,Ancestral Recall,0001,Yes,,,,Unlimited,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
3,Animate Artifact,0002,Yes,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-
4,Animate Dead,0003,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,7,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
5,Animate Wall,0004,Yes,,,,Unlimited,R ,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
6,Ankh of Mishra,0005,Yes,,,,Unlimited,R ,R,R,R,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,2,2,-,-,-,-,-,1,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
7,Armageddon,0006,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
8,Aspect of Wolf,0007,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,00001,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0, ,-,-,-,-,-,-,-,-,-,-
9,Bad Moon,0008,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,1,-,00100,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
10,Badlands,0009,No,,,,Unlimited,R,R,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,00110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-50,-,-,-,-,-,-,-,-,-,-,-
11,Balance,0010,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,5,-,5,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
12,Basalt Monolith,0011,No,,,,Unlimited,U,U,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
13,Bayou,0012,No,,,,Unlimited,R,R,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,00101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-50,-,-,-,-,-,-,-,-,-,-,-
14,Benalish Hero,0013,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,1,-,-,-,-
15,Berserk,0014,No,,,,Unlimited,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,2,-,-,-
16,Birds of Paradise,0015,Yes,,,,Unlimited,R,R,R,R,-,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,-,1,-,-,-,1,-,-,-,-,-
17,Black Knight,0016,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,1,-,-
18,Black Lotus,0017,No,,,,Unlimited,R,-,-,-,-,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
19,Black Vise,0018,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
20,Black Ward,0019,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,10000,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
21,Blaze of Glory,0020,No,,,,Unlimited,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
22,Blessing,0021,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
23,Blue Elemental Blast,0022,No,,,,Unlimited,C,C,C,-,-,-,-,-,-,-,-,-,-,01000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
24,Blue Ward,0023,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,01000,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
25,Bog Wraith,0024,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,00100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,3,3,-,-,-,-,-,-,-,-,-
26,Braingeyser,0025,No,,,,Unlimited,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,-,-,-,-,-,-,-,-,-,-,-
27,Burrowing,0026,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,00010,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
28,Camouflage,0027,No,,,,Unlimited,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
29,Castle,0028,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
30,Celestial Prism,0029,No,,,,Unlimited,U,U,U,-,-,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
31,Channel,0030,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
32,Chaos Orb,0031,No,,,,Unlimited,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
33,Chaoslace,0032,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,00010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
34,Circle of Protection: Black,0033,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,00100,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
35,Circle of Protection: Blue,0034,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,01000,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
36,Circle of Protection: Green,0035,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,00001,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
37,Circle of Protection: Red,0036,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,00010,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
38,Circle of Protection: White,0037,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
39,Clockwork Beast,0038,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,7,4,-,-,-,-,-,-,-,-,-
40,Clone,0039,No,,,,Unlimited,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
41,Cockatrice,0040,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,4,-,-,-,1,-,-,-,-,-
