csvid,name,vanilla,base_sell_price,implemented_in_shandalar
0,"Air Elemental",vanilla,100,shandalar
1,"Ancestral Recall",,560,shandalar
2,"Animate Artifact",,100,shandalar
3,"Animate Dead",,100,shandalar
4,"Animate Wall",,200,shandalar
5,"Ankh of Mishra",,248,shandalar
6,"Armageddon",,640,shandalar
7,"Aspect of Wolf",,300,shandalar
8,"Bad Moon",,400,shandalar
9,"Badlands",,200,shandalar
10,"Balance",,480,shandalar
11,"Basalt Monolith",,100,shandalar
12,"Bayou",,200,shandalar
13,"Benalish Hero",vanilla,90,shandalar
14,"Berserk",,100,shandalar
15,"Birds of Paradise",,420,shandalar
16,"Black Knight",vanilla,100,shandalar
17,"Black Lotus",,200,shandalar
18,"Black Vise",,100,shandalar
19,"Black Ward",,100,shandalar
20,"Blaze of Glory",,560,shandalar
21,"Blessing",,600,shandalar
22,"Blue Elemental Blast",,80,shandalar
23,"Blue Ward",,100,shandalar
24,"Bog Wraith",vanilla,100,shandalar
25,"Braingeyser",,480,shandalar
26,"Burrowing",,100,shandalar
28,"Castle",,100,shandalar
29,"Celestial Prism",,100,shandalar
30,"Channel",,100,shandalar
32,"Chaoslace",,200,shandalar
33,"Circle of Protection: Black",,150,shandalar
34,"Circle of Protection: Blue",,150,shandalar
35,"Circle of Protection: Green",,150,shandalar
36,"Circle of Protection: Red",,150,shandalar
37,"Circle of Protection: White",,150,shandalar
38,"Clockwork Beast",,200,shandalar
40,"Cockatrice",,244,shandalar
41,"Consecrate Land",,100,shandalar
42,"Conservator",,100,shandalar
43,"Contract from Below",,240,shandalar
44,"Control Magic",,100,shandalar
45,"Conversion",,100,shandalar
46,"Copper Tablet",,100,shandalar
47,"Copy Artifact",,300,shandalar
48,"Counterspell",,100,shandalar
49,"Craw Wurm",vanilla,55,shandalar
50,"Creature Bond",,50,shandalar
51,"Crusade",,400,shandalar
52,"Crystal Rod",,100,shandalar
53,"Cursed Land",,100,shandalar
54,"Cyclopean Tomb",,200,shandalar
55,"Dark Ritual",,120,shandalar
56,"Darkpact",,400,shandalar
57,"Death Ward",,80,shandalar
58,"Deathgrip",,100,shandalar
59,"Deathlace",,200,shandalar
60,"Demonic Attorney",,400,shandalar
61,"Demonic Hordes",,480,shandalar
62,"Demonic Tutor",,100,shandalar
63,"Dingus Egg",,200,shandalar
64,"Disenchant",,180,shandalar
65,"Disintegrate",,120,shandalar
66,"Disrupting Scepter",,200,shandalar
67,"Dragon Whelp",,100,shandalar
68,"Drain Life",,120,shandalar
69,"Drain Power",,240,shandalar
70,"Drudge Skeletons",,120,shandalar
71,"Dwarven Demolition Team",,100,shandalar
72,"Dwarven Warriors",,60,shandalar
73,"Earth Elemental",vanilla,100,shandalar
74,"Earthbind",,25,shandalar
75,"Earthquake",,320,shandalar
76,"Elvish Archers",vanilla,280,shandalar
77,"Evil Presence",,100,shandalar
78,"False Orders",,80,
79,"Farmstead",,1200,shandalar
80,"Fastbond",,400,shandalar
81,"Fear",,125,shandalar
82,"Feedback",,100,shandalar
83,"Fire Elemental",vanilla,100,shandalar
84,"Fireball",,100,shandalar
85,"Firebreathing",,150,shandalar
86,"Flashfires",,100,shandalar
87,"Flight",,75,shandalar
88,"Fog",,120,shandalar
89,"Force of Nature",,916,shandalar
90,"Forcefield",,200,shandalar
91,"Forest",,40,shandalar
92,"Fork",,560,shandalar
93,"Frozen Shade",,337,shandalar
94,"Fungusaur",,200,shandalar
95,"Gaea's Liege",,200,shandalar
96,"Gauntlet of Might",,200,shandalar
97,"Giant Growth",,140,shandalar
98,"Giant Spider",vanilla,63,shandalar
99,"Glasses of Urza",,100,shandalar
100,"Gloom",,100,shandalar
101,"Goblin Balloon Brigade",,100,shandalar
102,"Goblin King",,200,shandalar
103,"Granite Gargoyle",,1236,shandalar
104,"Gray Ogre",vanilla,31,shandalar
105,"Green Ward",,100,shandalar
106,"Grizzly Bears",vanilla,58,shandalar
107,"Guardian Angel",,210,shandalar
108,"Healing Salve",,140,shandalar
109,"Helm of Chatzuk",,200,shandalar
110,"Hill Giant",vanilla,36,shandalar
111,"Holy Armor",,100,shandalar
112,"Holy Strength",,75,shandalar
113,"Howl from Beyond",,270,shandalar
114,"Howling Mine",,500,shandalar
115,"Hurloon Minotaur",vanilla,37,shandalar
116,"Hurricane",,100,shandalar
117,"Hypnotic Specter",,100,shandalar
118,"Ice Storm",,100,shandalar
119,"Icy Manipulator",,100,shandalar
120,"Illusionary Mask",,200,
121,"Instill Energy",,100,shandalar
122,"Invisibility",,100,shandalar
123,"Iron Star",,100,shandalar
124,"Ironclaw Orcs",,62,shandalar
125,"Ironroot Treefolk",vanilla,53,shandalar
126,"Island",,40,shandalar
127,"Island Sanctuary",,200,shandalar
128,"Ivory Cup",,100,shandalar
129,"Jade Monolith",,200,shandalar
130,"Jade Statue",,100,shandalar
131,"Jayemdae Tome",,200,shandalar
132,"Juggernaut",,100,shandalar
133,"Jump",,80,shandalar
134,"Karma",,100,shandalar
135,"Keldon Warlord",,100,shandalar
136,"Kormus Bell",,248,shandalar
137,"Kudzu",,400,shandalar
138,"Lance",,100,shandalar
139,"Ley Druid",,100,shandalar
140,"Library of Leng",,100,shandalar
141,"Lich",,700,shandalar
142,"Lifeforce",,100,shandalar
143,"Lifelace",,200,shandalar
144,"Lifetap",,100,shandalar
145,"Lightning Bolt",,140,shandalar
146,"Living Artifact",,400,shandalar
147,"Living Lands",,300,shandalar
148,"Living Wall",,100,shandalar
149,"Llanowar Elves",,120,shandalar
150,"Lord of Atlantis",,348,shandalar
151,"Lord of the Pit",,672,shandalar
152,"Lure",,100,shandalar
153,"Magical Hack",,240,shandalar
154,"Mahamoti Djinn",vanilla,308,shandalar
155,"Mana Flare",,300,shandalar
156,"Mana Short",,560,shandalar
157,"Mana Vault",,200,shandalar
158,"Manabarbs",,400,shandalar
159,"Meekstone",,332,shandalar
160,"Merfolk of the Pearl Trident",vanilla,40,shandalar
161,"Mesa Pegasus",vanilla,60,shandalar
162,"Mind Twist",,480,shandalar
163,"Mons's Goblin Raiders",vanilla,40,shandalar
164,"Mountain",,40,shandalar
165,"Mox Emerald",,200,shandalar
166,"Mox Jet",,200,shandalar
167,"Mox Pearl",,200,shandalar
168,"Mox Ruby",,200,shandalar
169,"Mox Sapphire",,200,shandalar
170,"Natural Selection",,320,shandalar
171,"Nether Shadow",,240,shandalar
172,"Nettling Imp",,100,shandalar
173,"Nevinyrral's Disk",,200,shandalar
174,"Nightmare",,200,shandalar
175,"Northern Paladin",,288,shandalar
176,"Obsianus Golem",vanilla,100,shandalar
177,"Orcish Artillery",,100,shandalar
178,"Orcish Oriflamme",,100,shandalar
179,"Paralyze",,75,shandalar
180,"Pearled Unicorn",vanilla,31,shandalar
181,"Personal Incarnation",,424,shandalar
182,"Pestilence",,300,shandalar
183,"Phantasmal Forces",,100,shandalar
184,"Phantasmal Terrain",,75,shandalar
185,"Phantom Monster",vanilla,100,shandalar
186,"Pirate Ship",,388,shandalar
187,"Plague Rats",,5,shandalar
188,"Plains",,40,shandalar
189,"Plateau",,200,shandalar
190,"Power Leak",,100,shandalar
191,"Power Sink",,270,shandalar
192,"Power Surge",,600,shandalar
193,"Prodigal Sorcerer",,75,shandalar
194,"Psionic Blast",,100,shandalar
195,"Psychic Venom",,50,shandalar
196,"Purelace",,200,shandalar
197,"Raging River",,600,shandalar
198,"Raise Dead",,60,shandalar
199,"Red Elemental Blast",,80,shandalar
200,"Red Ward",,100,shandalar
201,"Regeneration",,200,shandalar
202,"Regrowth",,100,shandalar
203,"Resurrection",,100,shandalar
204,"Reverse Damage",,800,shandalar
205,"Righteousness",,320,shandalar
206,"Roc of Kher Ridges",vanilla,240,shandalar
